Account ID	Account Name	Row	Access	Project Year	Energy Source	Percent
54461	Gemeente Groningen	7	Public	2017	Wind	3
54461	Gemeente Groningen	8	Public	2017	Geothermal	
54461	Gemeente Groningen	9	Public	2017	Solar	
54461	Gemeente Groningen	10	Public	2017	Unknown sources	
54478	Gemeente Nijmegen	1	Public	2017		
59165	Gladsaxe Kommune	1	Public	2017	Coal	19
59165	Gladsaxe Kommune	2	Public	2017	Gas	6
59165	Gladsaxe Kommune	3	Public	2017	Oil	0.6
59165	Gladsaxe Kommune	4	Public	2017	Nuclear	4
59165	Gladsaxe Kommune	5	Public	2017	Hydro	8
59165	Gladsaxe Kommune	6	Public	2017	Biomass	13
59165	Gladsaxe Kommune	7	Public	2017	Wind	42
59165	Gladsaxe Kommune	8	Public	2017	Geothermal	0
59165	Gladsaxe Kommune	9	Public	2017	Solar	7.4
59165	Gladsaxe Kommune	10	Public	2017	Unknown sources	
35898	Greater Manchester	1	Public	2017	Coal	35.4
35898	Greater Manchester	2	Public	2017	Gas	28.2
35898	Greater Manchester	3	Public	2017	Oil	1
35898	Greater Manchester	4	Public	2017	Nuclear	22.3
35898	Greater Manchester	5	Public	2017	Hydro	1.3
35898	Greater Manchester	6	Public	2017	Biomass	4.7
35898	Greater Manchester	7	Public	2017	Wind	5.3
35898	Greater Manchester	8	Public	2017	Geothermal	0.8
35898	Greater Manchester	9	Public	2017	Solar	1
35898	Greater Manchester	10	Public	2017	Unknown sources	
58489	Hoeje-Taastrup Kommune	1	Public	2017	Coal	24
58489	Hoeje-Taastrup Kommune	2	Public	2017	Gas	8
58489	Hoeje-Taastrup Kommune	3	Public	2017	Oil	1
58489	Hoeje-Taastrup Kommune	4	Public	2017	Nuclear	2
58489	Hoeje-Taastrup Kommune	5	Public	2017	Hydro	13
58489	Hoeje-Taastrup Kommune	6	Public	2017	Biomass	10
58489	Hoeje-Taastrup Kommune	7	Public	2017	Wind	35
58489	Hoeje-Taastrup Kommune	8	Public	2017	Geothermal	
58489	Hoeje-Taastrup Kommune	9	Public	2017	Solar	2
58489	Hoeje-Taastrup Kommune	10	Public	2017	Unknown sources	5
36044	Seferihisar municipality	1	Public	2017	Coal	
36044	Seferihisar municipality	2	Public	2017	Gas	
36044	Seferihisar municipality	3	Public	2017	Oil	
36044	Seferihisar municipality	4	Public	2017	Nuclear	0
36044	Seferihisar municipality	5	Public	2017	Hydro	
36044	Seferihisar municipality	6	Public	2017	Biomass	0
36044	Seferihisar municipality	7	Public	2017	Wind	
36044	Seferihisar municipality	8	Public	2017	Geothermal	
36044	Seferihisar municipality	9	Public	2017	Solar	
36044	Seferihisar municipality	10	Public	2017	Unknown sources	
58610	Municipality of Hjørring	1	Public	2017	Coal	0
58610	Municipality of Hjørring	2	Public	2017	Gas	4.9
58610	Municipality of Hjørring	3	Public	2017	Oil	3.6
58610	Municipality of Hjørring	4	Public	2017	Nuclear	0
58610	Municipality of Hjørring	5	Public	2017	Hydro	0.1
58610	Municipality of Hjørring	6	Public	2017	Biomass	8.7
